,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Color,Image_link
953,953,953,729,59494962,MALM,Beds,"SR1,025","SR1,045",True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-lindbaden-s59494962/,Yes,"Bed frame, high, white/Lindbåden,",Unknown,,,,High,
954,954,954,730,79305102,JONAXEL,Wardrobes,SR930,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-wardrobe-combination-white-s79305102/,No,"Wardrobe combination, white,",IKEA of Sweden,,,,White,
955,955,955,731,30475025,ÖVERSIDAN,Wardrobes,SR99,No old price,True,https://www.ikea.com/sa/en/p/oeversidan-led-wardrobe-lighting-strp-w-sensor-dimmable-white-30475025/,No,"LED wardrobe lighting strp w sensor, dimmable white,",Unknown,3.0,,,Dimmable white,
956,956,956,732,70475047,ÖVERSIDAN,Wardrobes,SR69,No old price,True,https://www.ikea.com/sa/en/p/oeversidan-led-wardrobe-lighting-strp-w-sensor-dimmable-white-70475047/,No,"LED wardrobe lighting strp w sensor, dimmable white,",Unknown,3.0,,,Dimmable white,
957,957,957,733,39270326,LANDSKRONA,Sofas,"SR2,995",No old price,True,https://www.ikea.com/sa/en/p/landskrona-3-seat-sofa-gunnared-light-green-wood-s39270326/,Yes,"3-seat sofa, Gunnared light green/wood",IKEA of Sweden/Tord Björklund,,,,Gunnared light green/wood,
958,958,958,734,395558,SANNIDAL,Cabinets & cupboards,SR195,SR15,True,https://www.ikea.com/sa/en/p/sannidal-door-white-00395558/,No,"Door, white,",IKEA of Sweden,,180.0,60.0,White,
959,959,959,735,461973,STARKVIND,Tables & desks,SR999,No old price,True,https://www.ikea.com/sa/en/p/starkvind-table-with-air-purifier-stained-oak-veneer-white-smart-00461973/,Yes,"Table with air purifier, stained oak veneer/white smart",David Wahl,1.0,55.0,,Stained oak veneer/white smart,
960,960,960,736,59483906,STRANDMON,Armchairs & chaise longues,"SR1,340",No old price,True,https://www.ikea.com/sa/en/p/strandmon-armchair-and-footstool-skiftebo-yellow-s59483906/,Yes,"Armchair and footstool, Skiftebo yellow",Unknown,,,,Skiftebo yellow,
961,961,961,737,29324320,PLATSA,Wardrobes,"SR2,600","SR2,650",False,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-6-drawers-white-fonnes-white-s29324320/,No,"Wardrobe with 6 drawers, white/Fonnes white,",IKEA of Sweden/Ola Wihlborg,,,,White/fonnes white,
962,962,962,738,69415846,SUNDVIK,Nursery furniture,"SR2,640",No old price,True,https://www.ikea.com/sa/en/p/sundvik-3-piece-baby-furniture-set-white-s69415846/,No,"3-piece baby furniture set, white",Unknown,,,,White,
963,963,963,739,29324711,PAX / GRIMO,Wardrobes,"SR3,185","SR3,505",True,https://www.ikea.com/sa/en/p/pax-grimo-wardrobe-combination-white-white-s29324711/,No,"Wardrobe combination, white/white,",Ehlén Johansson/IKEA of Sweden/Ola Wihlborg,,,,White/white,
964,964,964,740,59499592,IDANÄS,Furniture sets,"SR5,034",No old price,True,https://www.ikea.com/sa/en/p/idanaes-bedroom-furniture-set-of-4-white-s59499592/,Yes,"Bedroom furniture, set of 4, white,",Unknown,,,,Set of 4,
965,965,965,741,39329384,EKET,Chests of drawers & drawer units,SR305,No old price,True,https://www.ikea.com/sa/en/p/eket-wall-cabinet-with-2-drawers-dark-grey-s39329384/,Yes,"Wall cabinet with 2 drawers, dark grey,",IKEA of Sweden,,,,Dark grey,
966,966,966,742,20331693,SPILDRA,Cabinets & cupboards,,No old price,True,https://www.ikea.com/sa/en/p/spildra-top-for-storage-module-white-20331693/,No,"Top for storage module, white,",IKEA of Sweden,56.0,,60.0,White,
967,967,967,743,30342078,REGISSÖR,Cabinets & cupboards,"SR2,995",No old price,True,https://www.ikea.com/sa/en/p/regissoer-glass-door-cabinet-white-30342078/,Yes,"Glass-door cabinet, white,",K Hagberg/M Hagberg,38.0,203.0,118.0,"Brown,White",
968,968,968,744,89305620,SÖDERHAMN,Armchairs & chaise longues,"SR2,095",No old price,True,https://www.ikea.com/sa/en/p/soederhamn-chaise-longue-viarp-beige-brown-s89305620/,Yes,"Chaise longue, Viarp beige/brown",Ola Wihlborg,,,,"Tonerud grey,Fridtuna dark grey,Gransel natural colour,Fridtuna light beige,Viarp beige/brown",
969,969,969,745,79552908,KALLAX,Bookcases & shelving units,SR927,"SR1,007",True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-2-doors-with-2-shelf-inserts-white-s79552908/,No,"Shelving unit, with 2 doors/with 2 shelf inserts white,",Unknown,,,,With 2 doors/with 2 shelf inserts white,
970,970,970,746,99287772,SOLLERÖN,Outdoor furniture,"SR3,340","SR3,370",False,https://www.ikea.com/sa/en/p/solleroen-3-seat-modular-sofa-outdoor-dark-grey-froesoen-duvholmen-dark-grey-s99287772/,Yes,"3-seat modular sofa, outdoor, dark grey/Frösön/Duvholmen dark grey,",Eva Lilja Löwenhielm/IKEA of Sweden/Jonas Hultqvist,,,,"Dark grey/Frösön/Duvholmen beige,Dark grey/Frösön/Duvholmen dark grey,Dark grey/Järpön/Duvholmen anthracite",
971,971,971,747,29424372,PLATSA,Cabinets & cupboards,"SR1,805","SR1,825",True,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-2-doors-white-fonnes-white-s29424372/,No,"Wardrobe with 2 doors, white/Fonnes white,",Unknown,,,,White/fonnes white,
972,972,972,748,30491718,VIHALS,Dining furniture,SR895,No old price,True,https://www.ikea.com/sa/en/p/vihals-sideboard-white-30491718/,No,"Sideboard, white,",Ola Wihlborg,37.0,75.0,140.0,White,
973,973,973,749,20458842,IDANÄS,Wardrobes,"SR1,195",No old price,True,https://www.ikea.com/sa/en/p/idanaes-open-wardrobe-white-20458842/,Yes,"Open wardrobe, white,",F Cayouette/J Karlsson,49.0,211.0,59.0,"Dark brown stained,White",
974,974,974,750,39429053,RÖNNINGE / LISABO,Furniture sets,"SR2,579",No old price,True,https://www.ikea.com/sa/en/p/roenninge-lisabo-table-and-4-chairs-birch-birch-s39429053/,No,"Table and 4 chairs, birch/birch,",Unknown,,,,Birch/birch,
975,975,975,751,80340760,EKEDALEN,Dining furniture,SR299,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-chair-dark-brown-orrsta-light-grey-80340760/,Yes,"Chair, dark brown/Orrsta light grey",Ehlén Johansson,39.0,48.0,45.0,Dark brown/Orrsta light grey,
976,976,976,752,49157457,BRIMNES,Beds,"SR1,775","SR1,895",True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-loenset-s49157457/,No,"Bed frame w storage and headboard, white/Lönset,",IKEA of Sweden/K Hagberg/M Hagberg,,,,White/lönset,
977,977,977,753,19046786,BESTÅ,Cabinets & cupboards,SR325,No old price,True,https://www.ikea.com/sa/en/p/besta-shelf-unit-with-door-black-brown-lappviken-black-brown-s19046786/,Yes,"Shelf unit with door, black-brown/Lappviken black-brown,",IKEA of Sweden,,,,"Black-brown/Lappviken black-brown,Black-brown/Lappviken light grey-brown,White/Lappviken white,White/Hanviken white,White/Laxviken white,White/Sutterviken white,Black-brown/Mörtviken black,Black-brown Hedeviken/dark brown stained oak veneer,Black-brown/Kallviken dark grey,Black-brown/Selsviken high-gloss/black,White/Selsviken high-gloss/white,White/Smeviken white",
978,978,978,754,29503312,SPIKSMED,TV & media furniture,SR957,No old price,True,https://www.ikea.com/sa/en/p/spiksmed-tv-storage-combination-s29503312/,No,"TV storage combination,",Unknown,,,,,
979,979,979,755,49306792,VIMLE,Armchairs & chaise longues,"SR4,095",No old price,True,https://www.ikea.com/sa/en/p/vimle-chaise-longue-grann-bomstad-black-s49306792/,No,"Chaise longue, Grann/Bomstad black",Ehlén Johansson,,,,Grann/bomstad black,
980,980,980,756,50275558,OXBERG,Bookcases & shelving units,SR255,No old price,True,https://www.ikea.com/sa/en/p/oxberg-panel-glass-door-white-50275558/,Yes,"Panel/glass door, white,",Unknown,,192.0,40.0,White,
981,981,981,757,9489604,HYLTARP,Sofas,"SR3,195",No old price,True,https://www.ikea.com/sa/en/p/hyltarp-2-seat-sofa-gransel-grey-brown-s09489604/,Yes,"2-seat sofa, Gransel grey-brown",Unknown,,,,"Hallarp white,Gransel grey,Gransel grey-brown,Gransel natural",
