item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
20463056,RÅSHULT,Trolleys,125,No old price,TRUE,https://www.ikea.com/sa/en/p/rashult-trolley-white-20463056/,No,"        Trolley,          38x28 cm",IKEA of Sweden,,65,28
70228325,RESÖ,Children's furniture,205,No old price,TRUE,https://www.ikea.com/sa/en/p/resoe-childrens-picnic-table-grey-brown-stained-grey-brown-70228325/,No,        Children's picnic table,IKEA of Sweden,,49,89
60334722,TOBIAS,Chairs,345,No old price,TRUE,https://www.ikea.com/sa/en/p/tobias-chair-blue-chrome-plated-60334722/,No,        Chair,Carl Öjerstam,56,82,55
70323600,BILLSBRO,Bookcases & shelving units,19,No old price,TRUE,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-70323600/,No,"        Handle,          120 mm",H Preutz/A Fredriksson,,,
19248015,NORDLI,Chests of drawers & drawer units,1580,"SR 1,975",TRUE,https://www.ikea.com/sa/en/p/nordli-chest-of-9-drawers-white-s19248015/,No,"        Chest of 9 drawers,          160x99 cm",Ola Wihlborg,47,99,160
40407922,BRIMNES,Wardrobes,645,No old price,TRUE,https://www.ikea.com/sa/en/p/brimnes-wardrobe-with-3-doors-white-40407922/,No,"        Wardrobe with 3 doors,          117x190 cm",K Hagberg/M Hagberg,50,190,117
89041709,ANTILOP,Nursery furniture,85,No old price,TRUE,https://www.ikea.com/sa/en/p/antilop-highchair-with-safety-belt-white-silver-colour-s89041709/,No,        Highchair with safety belt,IKEA of Sweden,59,90,56
9297134,JONAXEL,Bookcases & shelving units,150,No old price,TRUE,https://www.ikea.com/sa/en/p/jonaxel-frame-with-wire-baskets-s09297134/,No,"        Frame with wire baskets,          50x51x70 cm",IKEA of Sweden,51,70,50
29269724,LANDSKRONA,Chairs,1395,No old price,TRUE,https://www.ikea.com/sa/en/p/landskrona-armchair-gunnared-light-green-metal-s29269724/,Yes,        Armchair,IKEA of Sweden/Tord Björklund,89,78,89
49246468,PAX,Wardrobes,1510,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-white-s49246468/,Yes,"        Wardrobe,          150x60x201 cm",Ehlén Johansson/IKEA of Sweden,60,201,150
89931560,HEMNES,Beds,675,SR 895,TRUE,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/Carina Bengs,,,154
79102958,TROFAST,Children's furniture,410,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-pine-white-s79102958/,Yes,"        Storage combination,          94x44x52 cm",Studio Copenhagen,44,52,94
80270125,LÖVBACKEN,Tables & desks,299,No old price,TRUE,https://www.ikea.com/sa/en/p/loevbacken-side-table-medium-brown-80270125/,No,"        Side table,          77x39 cm",IKEA of Sweden,,51,39
9061169,BEKANT,Tables & desks,2875,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-corner-desk-right-sit-stand-white-s09061169/,Yes,"        Corner desk right sit/stand,          160x110 cm",K Malmvall/E Lilja Löwenhielm,,,110
289322,STOCKSUND,Sofas & armchairs,100,No old price,TRUE,https://www.ikea.com/sa/en/p/stocksund-legs-for-armchair-sofas-light-brown-00289322/,No,        Legs for armchair/sofas,Nike Karlsson,,18,
49248325,IVAR,Bookcases & shelving units,612,No old price,TRUE,https://www.ikea.com/sa/en/p/ivar-2-sections-shelves-pine-s49248325/,No,"        2 sections/shelves,          134x50x179 cm",IKEA of Sweden,50,179,134
30425988,KALLVIKEN,Bookcases & shelving units,95,No old price,TRUE,https://www.ikea.com/sa/en/p/kallviken-drawer-front-dark-grey-concrete-effect-30425988/,No,"        Drawer front,          60x26 cm",IKEA of Sweden,,26,60
87749600,OBSERVATÖR,Bookcases & shelving units,5,No old price,TRUE,https://www.ikea.com/sa/en/p/observatoer-cross-brace-galvanised-87749600/,No,"        Cross-brace,          100 cm",IKEA of Sweden,,,
40291851,HANVIKEN,Cabinets & cupboards,50,No old price,TRUE,https://www.ikea.com/sa/en/p/hanviken-drawer-front-white-40291851/,Yes,"        Drawer front,          60x26 cm",Marcus Arvonen,,26,60
60400745,YNGVAR,Chairs,475,No old price,TRUE,https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/,No,"        Bar stool,          75 cm",IKEA of Sweden,40,,40
