item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
10518993,SÖDERHAMN,Armchairs & chaise longues,SR695,No old price,TRUE,https://www.ikea.com/sa/en/p/soederhamn-cover-for-chaise-longue-fridtuna-dark-grey-10518993/,Yes,"Cover for chaise longue, Fridtuna dark grey",Ola Wihlborg,57,6,38
49416776,LAGKAPTEN / KRILLE,Tables & desks,SR499,No old price,TRUE,https://www.ikea.com/sa/en/p/lagkapten-krille-desk-white-s49416776/,Yes,"Desk, white,",Unknown,,,
80270125,LÖVBACKEN,Tables & desks,SR449,No old price,TRUE,https://www.ikea.com/sa/en/p/loevbacken-side-table-medium-brown-80270125/,Yes,"Side table, medium brown,",IKEA of Sweden,77,51,39
19409027,GRÖNLID,Sofas,"SR1,835",No old price,TRUE,https://www.ikea.com/sa/en/p/groenlid-chaise-longue-section-ljungen-medium-grey-s19409027/,Yes,"Chaise longue section, Ljungen medium grey",Unknown,,,
19399721,VIMLE,Armchairs & chaise longues,"SR1,920",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-cvr-crnr-sofa-bed-5-seat-w-chs-lng-saxemara-black-blue-s19399721/,No,"Cvr crnr sofa-bed 5-seat w chs lng, Saxemara black-blue",Unknown,,,
9297488,JONAXEL,Chests of drawers & drawer units,SR335,No old price,TRUE,https://www.ikea.com/sa/en/p/jonaxel-storage-combination-white-s09297488/,No,"Storage combination, white,",IKEA of Sweden,,,
423721,KALLAX,Bookcases & shelving units,SR160,No old price,TRUE,https://www.ikea.com/sa/en/p/kallax-insert-with-mirror-door-00423721/,No,"Insert with mirror door,",IKEA of Sweden,38,33,33
20415046,HAUGA,Cabinets & cupboards,SR945,No old price,TRUE,https://www.ikea.com/sa/en/p/hauga-high-cabinet-with-2-doors-white-20415046/,Yes,"High cabinet with 2 doors, white,",Ola Wihlborg,46,199,70
59399347,VIMLE,Armchairs & chaise longues,SR965,No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-cover-for-3-seat-sofa-hallarp-grey-s59399347/,Yes,"Cover for 3-seat sofa, Hallarp grey",Unknown,,,
49194426,HEMNES,Beds,"SR2,775",No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-bed-frame-with-4-storage-boxes-white-stain-loenset-s49194426/,Yes,"Bed frame with 4 storage boxes, white stain/Lönset,",Carina Bengs/IKEA of Sweden,,,
49429444,EKEDALEN,Dining furniture,SR505,No old price,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-hakebo-dark-grey-s49429444/,No,"Bar stool with backrest, dark brown/Hakebo dark grey,",Unknown,,,
60429999,MALM,Chests of drawers & drawer units,SR225,SR849,TRUE,https://www.ikea.com/sa/en/p/malm-glass-top-transparent-grey-60429999/,No,"Glass top, transparent grey,",IKEA of Sweden,160,,48
29411322,BESTÅ,TV & media furniture,"SR2,990",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-white-lappviken-white-clear-glass-s29411322/,Yes,"TV storage combination/glass doors, white/Lappviken white clear glass,",Unknown,,,
